Emission_VC,Verification_VC
143.40970001285314,19.48930002981797
21.676799951819703,16.249800046352902
40.244299998448696,19.817399970634142
28.17149998008972,19.567399976949673
27.900700024474645,23.06219994352432
26.843499927053927,26.895500013779383
22.812299994257046,21.359100082918303
28.853799994976725,25.181900036841398
26.822600011655595,30.510000033245888
22.41119991595042,17.645600019022822
26.0570000136795,20.775799930561334
31.291200048144674,20.140400010859594
28.759999986505136,19.432099998084595
24.202799977501854,19.60910003617755
26.452800011611544,24.379899969062535
28.150699927209644,32.0205000207352
33.44229999129311,27.650700030790176
24.723700062168064,18.390400055068312
58.49409999427735,28.614299935725285
23.85910001976299,28.44239998012199
19.942499966418836,18.057099987345282
21.952800034341635,19.463299940980505
19.359099951543612,18.369600002188236
65.31170001835562,31.37459998470149
36.11409993027337,18.36950004872051
37.9838999833737,25.968399950215826
25.301799996668706,20.103999941056827
25.09339992684545,32.43189994464046
35.78080004444928,46.85359999712091
36.16619997046655,30.32260001418763
21.905999983573565,25.567400007275864
88.43639998303843,66.160700043838
37.8849000298942,30.33820003111032
24.515299992344808,17.32279997668229
18.916400040325243,14.124900008027907
22.25500002168701,15.338299999712035
23.338299979513977,18.155999987357063
25.275699954363517,20.864299949607812
27.556900022318587,23.728900032438105
22.473700028058374,20.30710002145497
37.18190000654431,25.29660005166079
37.21310004038969,27.77050003714976
32.499600001756335,28.260099952603923
50.72330004622927,41.17139997106278
36.84330004034564,25.645599998824764
39.166199985629646,48.07230006917962
42.30679996908293,36.82770002342295
21.218500023678644,18.98420005090884
42.79120003047865,24.083100015559467
23.21840001968667,21.989300057612127
22.452800021710573,23.65079999435693
24.13000001979526,20.452799981285352
32.832899978529895,19.947700002376223
28.8851000732393,24.09349999652477
31.95789995515952,26.353799967182567
55.34309993890929,22.09350004704902
42.384900007164106,51.98369999561692
25.34340001147939,28.593400020326953
40.3223999455804,50.046300020767376
48.770200010039844,41.640099971118616
27.23930001593544,19.640400023490656
21.619499966618605,33.32249998493353
29.197599997132784,17.234200004168088
38.99430003002635,24.119499994412763
24.984099945868365,29.400599942164263
23.421599962603068,21.942500006844057
29.7861000035482,21.140299941180274
24.848700013535563,21.593500059680082
20.473699987633154,22.187200011103414
31.39020000162418,28.374599969538394
34.374599999864586,29.15069999289699
43.31719992478611,28.890300018247217
25.52050000304007,24.395500076934695
54.22849999376922,61.290899975574575
43.84839994600043,35.37459997460246
23.79139996264712,15.978999999788357
16.74980003372184,13.775800016446738
19.4424999790499,25.510100022074766
22.181999975146027,25.895500039041508
22.270499994192505,20.088299970666412
22.025699945515953,20.952900013071485
38.83810004481347,24.801800009299768
32.306899993272964,31.900700014375616
